t_high,halluc_rate,regress_rate,abstain_rate
0.4651273280490907,0.8711656441717791,0.0,0.0
0.4878546007763634,0.8711656441717791,0.0,0.0
0.5105818735036362,0.8711656441717791,0.0,0.0
0.5333091462309089,0.8711656441717791,0.0,0.0
0.5560364189581816,0.8711656441717791,0.0,0.0
0.5787636916854543,0.8773006134969326,0.006134969325153374,0.0
0.601490964412727,0.8773006134969326,0.006134969325153374,0.0
0.6242182371399998,0.8711656441717791,0.0,0.0
0.6469455098672725,0.8711656441717791,0.0,0.0
0.6696727825945452,0.8711656441717791,0.0,0.0
0.6924000553218179,0.8650306748466258,0.0,0.0
0.7151273280490906,0.8773006134969326,0.006134969325153374,0.0
